ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
352,29,39,3,322,56,61,340,28,56,61,9302.0,0.0499765998620684
353,29,39,3,322,56,61,341,28,56,61,9302.0,0.0499765998620684
354,29,39,3,322,56,61,342,28,56,61,9302.0,0.0499765998620684
355,29,39,3,322,56,62,340,28,56,62,9302.0,0.0499765998620684
356,29,39,3,322,56,62,341,28,56,62,9302.0,0.0499765998620684
357,29,39,3,322,56,62,342,28,56,62,9302.0,0.0499765998620684
358,29,39,3,322,56,63,340,28,56,63,9302.0,0.0499765998620684
359,29,39,3,322,56,63,341,28,56,63,9302.0,0.0499765998620684
360,29,39,3,322,56,63,342,28,56,63,9302.0,0.0499765998620684
361,29,44,2,317,53,59,337,28,53,59,2703.0,0.0272542017852298
362,29,44,2,317,53,59,338,28,53,59,2703.0,0.0272542017852298
363,29,44,2,317,53,59,339,28,53,59,2703.0,0.0272542017852298
364,29,44,2,317,53,60,337,28,53,60,2703.0,0.0272542017852298
365,29,44,2,317,53,60,338,28,53,60,2703.0,0.0272542017852298
366,29,44,2,317,53,60,339,28,53,60,2703.0,0.0272542017852298
367,29,44,2,317,53,61,337,28,53,61,2703.0,0.0272542017852298
368,29,44,2,317,53,61,338,28,53,61,2703.0,0.0272542017852298
369,29,44,2,317,53,61,339,28,53,61,2703.0,0.0272542017852298
370,29,44,2,317,53,62,337,28,53,62,2703.0,0.0272542017852298
